Model | Params(M) | FLOPs(G)
---|---|---
alexnet | 61.10 | 0.71
densenet121 | 7.98 | 2.87
densenet161 | 28.68 | 7.79
densenet169 | 14.15 | 3.40
densenet201 | 20.01 | 4.34
efficientnet_b0 | 5.29 | 0.40
efficientnet_b1 | 7.79 | 0.59
efficientnet_b2 | 9.11 | 0.68
efficientnet_b3 | 12.23 | 0.99
efficientnet_b4 | 19.34 | 1.54
efficientnet_b5 | 30.39 | 2.41
efficientnet_b6 | 43.04 | 3.43
efficientnet_b7 | 66.35 | 5.27
googlenet | 6.62 | 1.50
inception_v3 | 23.83 | 5.73
mnasnet0_5 | 2.22 | 0.11
mnasnet0_75 | 3.17 | 0.23
mnasnet1_0 | 4.38 | 0.33
mnasnet1_3 | 6.28 | 0.54
mobilenet_v2 | 3.50 | 0.31
mobilenet_v3_large | 5.48 | 0.23
mobilenet_v3_small | 2.54 | 0.06
regnet_x_16gf | 54.28 | 15.99
regnet_x_1_6gf | 9.19 | 1.62
regnet_x_32gf | 107.81 | 31.81
regnet_x_3_2gf | 15.30 | 3.20
regnet_x_400mf | 5.50 | 0.42
regnet_x_800mf | 7.26 | 0.81
regnet_x_8gf | 39.57 | 8.02
regnet_y_16gf | 83.59 | 15.96
regnet_y_1_6gf | 11.20 | 1.63
regnet_y_32gf | 145.05 | 32.35
regnet_y_3_2gf | 19.44 | 3.20
regnet_y_400mf | 4.34 | 0.41
regnet_y_800mf | 6.43 | 0.85
regnet_y_8gf | 39.38 | 8.52
resnet101 | 44.55 | 7.83
resnet152 | 60.19 | 11.56
resnet18 | 11.69 | 1.82
resnet34 | 21.80 | 3.67
resnet50 | 25.56 | 4.11
resnext101_32x8d | 88.79 | 16.48
resnext50_32x4d | 25.03 | 4.26
shufflenet_v2_x0_5 | 1.37 | 0.04
shufflenet_v2_x1_0 | 2.28 | 0.15
shufflenet_v2_x1_5 | 3.50 | 0.30
shufflenet_v2_x2_0 | 7.39 | 0.59
squeezenet1_0 | 1.25 | 0.82
squeezenet1_1 | 1.24 | 0.35
vgg11 | 132.86 | 7.62
vgg11_bn | 132.87 | 7.63
vgg13 | 133.05 | 11.32
vgg13_bn | 133.05 | 11.35
vgg16 | 138.36 | 15.48
vgg16_bn | 138.37 | 15.51
vgg19 | 143.67 | 19.65
vgg19_bn | 143.68 | 19.68
wide_resnet101_2 | 126.89 | 22.80
wide_resnet50_2 | 68.88 | 11.43
